file,line,type_owner,field_type,name,context
src/composing/analysis/chord/chordanalyzer.h,261,ChordIdentity,double,score,double score = 0.0;                ///< Template match score (higher = better); ranking only.
src/composing/analysis/chord/chordanalyzer.h,262,ChordIdentity,int,rootPc,int rootPc = 0;           ///< Root pitch class (0–11)
src/composing/analysis/chord/chordanalyzer.h,263,ChordIdentity,int,rootTpc,int rootTpc = -1;         ///< Root TPC for enharmonic-correct naming; -1 = unknown
src/composing/analysis/chord/chordanalyzer.h,264,ChordIdentity,int,bassPc,int bassPc = 0;           ///< Bass pitch class (0–11)
src/composing/analysis/chord/chordanalyzer.h,265,ChordIdentity,int,bassTpc,int bassTpc = -1;         ///< Bass TPC for enharmonic-correct naming; -1 = unknown
src/composing/analysis/chord/chordanalyzer.h,269,ChordIdentity,bool,naturalFifthPresent,bool naturalFifthPresent = false;
src/composing/analysis/chord/chordanalyzer.h,270,ChordIdentity,ChordQuality,quality,ChordQuality quality = ChordQuality::Unknown;
src/composing/analysis/chord/chordanalyzer.h,271,ChordIdentity,int,tiePriority,int tiePriority = -1;     ///< Template index (E2c: used by applyHarmonicFunction
src/composing/analysis/chord/chordanalyzer.h,273,ChordIdentity,uint32_t,extensions,uint32_t extensions = 0;  ///< Extension/alteration bitmask (see Extension enum)
src/composing/analysis/chord/chordanalyzer.h,280,ChordIdentity,bool,isPedalPoint,bool isPedalPoint = false;
src/composing/analysis/chord/chordanalyzer.h,281,ChordIdentity,int,pedalBassPc,int pedalBassPc = -1;  ///< Pedal bass pitch class; -1 when isPedalPoint is false
src/composing/analysis/chord/chordanalyzer.h,288,ChordFunction,int,degree,int degree = -1;           ///< 0..6 when diatonic degree is known; -1 otherwise
src/composing/analysis/chord/chordanalyzer.h,289,ChordFunction,bool,diatonicToKey,bool diatonicToKey = false;
src/composing/analysis/chord/chordanalyzer.h,293,ChordFunction,int,keyTonicPc,int keyTonicPc = 0;
src/composing/analysis/chord/chordanalyzer.h,294,ChordFunction,KeySigMode,keyMode,KeySigMode keyMode = KeySigMode::Ionian;
src/composing/analysis/chord/chordanalyzer.h,300,ChordFunction,int,nextRootPc,int nextRootPc = -1;
src/composing/analysis/chord/chordanalyzer.h,308,ChordAnalysisResult,ChordIdentity,identity,ChordIdentity identity;
src/composing/analysis/chord/chordanalyzer.h,309,ChordAnalysisResult,ChordFunction,function,ChordFunction function;
src/composing/analysis/chord/chordanalyzer.h,317,RawCandidate,double,score,double score;
