file,line,kind,func,context
src/composing/analysis/key/keymodeanalyzer.cpp,156,if,ionianTonicPcForMode,if (modeIndex >= IONIAN_OFFSETS.size()) {
src/composing/analysis/key/keymodeanalyzer.cpp,170,switch,possibleIonianFifthsForPc,switch (ionianPc) {
src/composing/analysis/key/keymodeanalyzer.cpp,171,case,possibleIonianFifthsForPc,"case 0:  return {  0,  0 };  // C"
src/composing/analysis/key/keymodeanalyzer.cpp,172,case,possibleIonianFifthsForPc,"case 1:  return {  7, -5 };  // C# / Db"
src/composing/analysis/key/keymodeanalyzer.cpp,173,case,possibleIonianFifthsForPc,"case 2:  return {  2,  2 };  // D"
src/composing/analysis/key/keymodeanalyzer.cpp,174,case,possibleIonianFifthsForPc,"case 3:  return { -3, -3 };  // Eb"
src/composing/analysis/key/keymodeanalyzer.cpp,175,case,possibleIonianFifthsForPc,"case 4:  return {  4,  4 };  // E"
src/composing/analysis/key/keymodeanalyzer.cpp,176,case,possibleIonianFifthsForPc,"case 5:  return { -1, -1 };  // F"
src/composing/analysis/key/keymodeanalyzer.cpp,177,case,possibleIonianFifthsForPc,"case 6:  return {  6, -6 };  // F# / Gb"
src/composing/analysis/key/keymodeanalyzer.cpp,178,case,possibleIonianFifthsForPc,"case 7:  return {  1,  1 };  // G"
src/composing/analysis/key/keymodeanalyzer.cpp,179,case,possibleIonianFifthsForPc,"case 8:  return { -4, -4 };  // Ab"
src/composing/analysis/key/keymodeanalyzer.cpp,180,case,possibleIonianFifthsForPc,"case 9:  return {  3,  3 };  // A"
src/composing/analysis/key/keymodeanalyzer.cpp,181,case,possibleIonianFifthsForPc,"case 10: return { -2, -2 };  // Bb"
src/composing/analysis/key/keymodeanalyzer.cpp,182,case,possibleIonianFifthsForPc,"case 11: return {  5, -7 };  // B / Cb"
src/composing/analysis/key/keymodeanalyzer.cpp,195,ternary,resolveToFifths,? opts[0] : opts[1];
src/composing/analysis/key/keymodeanalyzer.cpp,232,ternary,noteWeight,* (p.isBass ? prefs.bassMultiplier : 1.0);
src/composing/analysis/key/keymodeanalyzer.cpp,255,if,scoreScaleMembership,if      (inC && inKS)   { score += w * prefs.scaleScoreInBoth; }
src/composing/analysis/key/keymodeanalyzer.cpp,256,else-if,scoreScaleMembership,else if (inC && !inKS)  { score += w * prefs.scaleScoreInCandidateOnly; }
src/composing/analysis/key/keymodeanalyzer.cpp,257,else-if,scoreScaleMembership,else if (!inC && inKS)  { score += w * prefs.scaleScoreInKeySigOnly; }
