file,tag,reason
src/composing/CMakeLists.txt,L3+,build file — non-source
src/composing/analysis/CMakeLists.txt,L3+,build file — non-source
src/composing/analysis/chord/analysisutils.h,L3+,chord/decode layer (L4) — deferred to the L4 certification audit (chordslicedecoder is the L4 survivor; chordanalyzer.h types consumed cross-layer)
src/composing/analysis/chord/chordanalyzer.cpp,RETIRES,R1 legacy chord competition + Gates A-L; R9 file-split — retires at E4 (roadmap R1/R9)
src/composing/analysis/chord/chordanalyzer.h,L3+,chord/decode layer (L4) — deferred to the L4 certification audit (chordslicedecoder is the L4 survivor; chordanalyzer.h types consumed cross-layer)
src/composing/analysis/chord/chorddiagnose.cpp,L3+,chord/decode layer (L4) — deferred to the L4 certification audit (chordslicedecoder is the L4 survivor; chordanalyzer.h types consumed cross-layer)
src/composing/analysis/chord/chordpostpasses.cpp,L3+,chord/decode layer (L4) — deferred to the L4 certification audit (chordslicedecoder is the L4 survivor; chordanalyzer.h types consumed cross-layer)
src/composing/analysis/chord/chordslicedecoder.cpp,L3+,chord/decode layer (L4) — deferred to the L4 certification audit (chordslicedecoder is the L4 survivor; chordanalyzer.h types consumed cross-layer)
src/composing/analysis/chord/chordslicedecoder.h,L3+,chord/decode layer (L4) — deferred to the L4 certification audit (chordslicedecoder is the L4 survivor; chordanalyzer.h types consumed cross-layer)
src/composing/analysis/chord/chordsymbolformatter.cpp,L3+,chord/decode layer (L4) — deferred to the L4 certification audit (chordslicedecoder is the L4 survivor; chordanalyzer.h types consumed cross-layer)
src/composing/analysis/chord/chordvoicing.cpp,L3+,chord/decode layer (L4) — deferred to the L4 certification audit (chordslicedecoder is the L4 survivor; chordanalyzer.h types consumed cross-layer)
src/composing/analysis/chord/postscoringgates.cpp,RETIRES,R1 legacy post-scoring Gates I/K/L — retires with the legacy competition at E4
src/composing/analysis/decode/chordpathdecoder.h,L4,"MIS-TAG (L1/L2 file table said 'L3 key-mode decoder scaffolding') — it is the beam-1 CHORD-path decoder (Stage 3.1), Layer 4; deferred to the L4 audit (pass-1 finding)"
src/composing/analysis/engravingbridge/phraseboundaryview.cpp,L1,Phrase-boundary primitive impl — L1.5 notation-derived view
src/composing/analysis/engravingbridge/phraseboundaryview.h,L1,Phrase-boundary primitive — L1.5 notation-derived view (cowork_phrase_boundary_design.md)
src/composing/analysis/engravingbridge/regiontonecollector.cpp,L1,Derived summary views impl — L1 §3/§5; check for legacy collectRegionTones residue (R-note)
src/composing/analysis/engravingbridge/regiontonecollector.h,L1,Derived summary views over the note model (weightedPcView/soundingAt) — L1 §3/§5; check for legacy collectRegionTones residue
src/composing/analysis/engravingbridge/regiontoneprimitives.cpp,L1,weightedPcView/soundingAt primitive impl — L1 derived views (layer1 design §3)
src/composing/analysis/engravingbridge/spellingview.cpp,L1,Spelling view impl — L1.5 notation-derived reader (R4 survivor)
src/composing/analysis/engravingbridge/spellingview.h,L1,Spelling view — L1.5 notation-derived reader (instruction L1 def; R4 shared-spelling-view survivor)
src/composing/analysis/function/forwardoverride.cpp,L3+,function layer (L5) — deferred to the L5 audit (harmonicfunctionlayer rename R7; forwardoverride/resolver are Tier-1 armed traps)
src/composing/analysis/function/forwardoverride.h,L3+,function layer (L5) — deferred to the L5 audit (harmonicfunctionlayer rename R7; forwardoverride/resolver are Tier-1 armed traps)
src/composing/analysis/function/functioncadence.cpp,L3+,function layer (L5) — deferred to the L5 audit (harmonicfunctionlayer rename R7; forwardoverride/resolver are Tier-1 armed traps)
src/composing/analysis/function/functioncadence.h,L3+,function layer (L5) — deferred to the L5 audit (harmonicfunctionlayer rename R7; forwardoverride/resolver are Tier-1 armed traps)
src/composing/analysis/function/functionmodulation.cpp,L3+,function layer (L5) — deferred to the L5 audit (harmonicfunctionlayer rename R7; forwardoverride/resolver are Tier-1 armed traps)
src/composing/analysis/function/functionmodulation.h,L3+,function layer (L5) — deferred to the L5 audit (harmonicfunctionlayer rename R7; forwardoverride/resolver are Tier-1 armed traps)
src/composing/analysis/function/functionoutput.cpp,L3+,function layer (L5) — deferred to the L5 audit (harmonicfunctionlayer rename R7; forwardoverride/resolver are Tier-1 armed traps)
src/composing/analysis/function/functionoutput.h,L3+,function layer (L5) — deferred to the L5 audit (harmonicfunctionlayer rename R7; forwardoverride/resolver are Tier-1 armed traps)
src/composing/analysis/function/functionprogression.cpp,L3+,function layer (L5) — deferred to the L5 audit (harmonicfunctionlayer rename R7; forwardoverride/resolver are Tier-1 armed traps)
src/composing/analysis/function/functionprogression.h,L3+,function layer (L5) — deferred to the L5 audit (harmonicfunctionlayer rename R7; forwardoverride/resolver are Tier-1 armed traps)
src/composing/analysis/function/functionrelationallabel.cpp,L3+,function layer (L5) — deferred to the L5 audit (harmonicfunctionlayer rename R7; forwardoverride/resolver are Tier-1 armed traps)
src/composing/analysis/function/functionrelationallabel.h,L3+,function layer (L5) — deferred to the L5 audit (harmonicfunctionlayer rename R7; forwardoverride/resolver are Tier-1 armed traps)
src/composing/analysis/function/functionresolver.cpp,L3+,function layer (L5) — deferred to the L5 audit (harmonicfunctionlayer rename R7; forwardoverride/resolver are Tier-1 armed traps)
src/composing/analysis/function/functionresolver.h,L3+,function layer (L5) — deferred to the L5 audit (harmonicfunctionlayer rename R7; forwardoverride/resolver are Tier-1 armed traps)
src/composing/analysis/function/functionromannumeral.cpp,L3+,function layer (L5) — deferred to the L5 audit (harmonicfunctionlayer rename R7; forwardoverride/resolver are Tier-1 armed traps)
src/composing/analysis/function/functionromannumeral.h,L3+,function layer (L5) — deferred to the L5 audit (harmonicfunctionlayer rename R7; forwardoverride/resolver are Tier-1 armed traps)
src/composing/analysis/function/harmonicfunctionlayer.cpp,L3+,function layer (L5) — deferred to the L5 audit (harmonicfunctionlayer rename R7; forwardoverride/resolver are Tier-1 armed traps)
src/composing/analysis/function/harmonicfunctionlayer.h,L3+,function layer (L5) — deferred to the L5 audit (harmonicfunctionlayer rename R7; forwardoverride/resolver are Tier-1 armed traps)
src/composing/analysis/function/tonicizationlabeler.cpp,L3+,function layer (L5) — deferred to the L5 audit (harmonicfunctionlayer rename R7; forwardoverride/resolver are Tier-1 armed traps)
src/composing/analysis/function/tonicizationlabeler.h,L3+,function layer (L5) — deferred to the L5 audit (harmonicfunctionlayer rename R7; forwardoverride/resolver are Tier-1 armed traps)
src/composing/analysis/grouping/groupinglayer.cpp,L3+,grouping for display (L6) — deferred to the L6 audit
src/composing/analysis/grouping/groupinglayer.h,L3+,grouping for display (L6) — deferred to the L6 audit
