file,name,start_line,end_line
src/composing/analysis/key/keymodeanalyzer.cpp,ionianTonicPcForMode,125,161
src/composing/analysis/key/keymodeanalyzer.cpp,possibleIonianFifthsForPc,168,185
src/composing/analysis/key/keymodeanalyzer.cpp,resolveToFifths,189,196
src/composing/analysis/key/keymodeanalyzer.cpp,noteWeight,228,233
src/composing/analysis/key/keymodeanalyzer.cpp,scoreScaleMembership,238,261
src/composing/analysis/key/keymodeanalyzer.cpp,scoreTriadEvidence,265,313
src/composing/analysis/key/keymodeanalyzer.cpp,scoreCharacteristicPitch,321,355
src/composing/analysis/key/keymodeanalyzer.cpp,scoreTrueLeadingTone,363,375
src/composing/analysis/key/keymodeanalyzer.cpp,scoreModePrior,378,407
src/composing/analysis/key/keymodeanalyzer.cpp,scoreKeySignatureProximity,411,420
src/composing/analysis/key/keymodeanalyzer.cpp,tonalCenterScore,429,441
src/composing/analysis/key/keymodeanalyzer.cpp,applyPairwiseDisambiguation,455,488
src/composing/analysis/key/keymodeanalyzer.cpp,modeIsCompatibleWithDeclared,501,513
src/composing/analysis/key/keymodeanalyzer.cpp,keySignatureFifthsForKey,519,528
src/composing/analysis/key/keymodeanalyzer.cpp,keyModeSignatureFifths,530,540
src/composing/analysis/key/keymodeanalyzer.cpp,analyzeKeyMode,542,834
src/composing/analysis/key/keymodeanalyzer.cpp,keyModeScaleIntervals,838,842
src/composing/analysis/key/keymodeanalyzer.h,normalizedConfidenceSigmoid,36,38
src/composing/analysis/key/keymodeanalyzer.h,keyModeIndex,50,50
src/composing/analysis/key/keymodeanalyzer.h,keyModeFromIndex,53,53
src/composing/analysis/key/keymodeanalyzer.h,keyModeIsMajor,60,75
src/composing/analysis/key/keymodeanalyzer.h,keyModeTonicOffset,81,103
src/composing/analysis/key/keymodeanalyzer.h,isMajor,114,114
src/composing/analysis/key/keymodeformatting.cpp,keyModeTonicName,31,106
src/composing/analysis/key/keymodeformatting.cpp,keyModeSuffix,108,137
src/composing/analysis/key/keymodesequence.cpp,candidateIndex,52,55
src/composing/analysis/key/keymodesequence.cpp,cofDistance,62,70
src/composing/analysis/key/keymodesequence.cpp,buildSliceContext,78,92
src/composing/analysis/key/keymodesequence.cpp,stateToResult,94,103
src/composing/analysis/key/keymodesequence.cpp,stateForCandidate,111,121
src/composing/analysis/key/keymodesequence.cpp,buildLattice,127,175
src/composing/analysis/key/keymodesequence.cpp,stateIndexForResult,177,185
src/composing/analysis/key/keymodesequence.cpp,populateEmissionConfidence,201,227
src/composing/analysis/key/keymodesequence.cpp,changeCost,231,240
src/composing/analysis/key/keymodesequence.cpp,decodeLattice,242,398
src/composing/analysis/key/keymodesequence.cpp,decode,400,414
src/composing/analysis/key/keymodesequence.cpp,redecodeRange,416,455
src/composing/analysis/key/keyresolver.cpp,fallbackResult,55,68
src/composing/analysis/key/keyresolver.cpp,ionianScaleSet,71,79
src/composing/analysis/key/keyresolver.cpp,partialSignatureCorrection,107,190
src/composing/analysis/key/keyresolver.cpp,promoteWinnerInPlace,195,202
src/composing/analysis/key/keyresolver.cpp,resolveKeySignatureContext,206,252
src/composing/analysis/key/keyresolver.cpp,resolveKeyAndModeRanked,255,370
src/composing/analysis/key/modepriorpresets.cpp,modePriorPresets,27,138
src/composing/analysis/region/harmonicrhythm.h,toExtensionsSnapshot,55,68
src/composing/analysis/region/regionanalyzer.cpp,makeChordPathNode,72,85
src/composing/analysis/region/regionanalyzer.cpp,measureTicksBefore,92,103
src/composing/analysis/region/regionanalyzer.cpp,coalesceShortSameRootRuns,116,195
src/composing/analysis/region/regionanalyzer.cpp,tryCollapseSameChordRegion,209,229
src/composing/analysis/region/regionanalyzer.cpp,absorbShortRegions,239,256
src/composing/analysis/region/regionanalyzer.cpp,inheritRegionKeyContext,274,279
src/composing/analysis/region/regionanalyzer.cpp,backfillNextRootPc,284,291
src/composing/analysis/region/regionanalyzer.cpp,restampBassMinorSeventhAfterMerge,305,331
src/composing/analysis/region/regionanalyzer.cpp,denseBoundaryTicks,336,374
