file,tag,reason
src/composing/CMakeLists.txt,L3+,build file — non-source
src/composing/analysis/CMakeLists.txt,L3+,build file — non-source
src/composing/analysis/chord/analysisutils.h,L3+,chord/decode layer (L4) — deferred to the L4 certification audit (chordslicedecoder is the L4 survivor; chordanalyzer.h types consumed cross-layer)
src/composing/analysis/chord/chordanalyzer.cpp,RETIRES,R1 legacy chord competition + Gates A-L; R9 file-split — retires at E4 (roadmap R1/R9)
src/composing/analysis/chord/chordanalyzer.h,L3+,chord/decode layer (L4) — deferred to the L4 certification audit (chordslicedecoder is the L4 survivor; chordanalyzer.h types consumed cross-layer)
src/composing/analysis/chord/chorddiagnose.cpp,L3+,chord/decode layer (L4) — deferred to the L4 certification audit (chordslicedecoder is the L4 survivor; chordanalyzer.h types consumed cross-layer)
src/composing/analysis/chord/chordpostpasses.cpp,L3+,chord/decode layer (L4) — deferred to the L4 certification audit (chordslicedecoder is the L4 survivor; chordanalyzer.h types consumed cross-layer)
src/composing/analysis/chord/chordslicedecoder.cpp,L3+,chord/decode layer (L4) — deferred to the L4 certification audit (chordslicedecoder is the L4 survivor; chordanalyzer.h types consumed cross-layer)
src/composing/analysis/chord/chordslicedecoder.h,L3+,chord/decode layer (L4) — deferred to the L4 certification audit (chordslicedecoder is the L4 survivor; chordanalyzer.h types consumed cross-layer)
src/composing/analysis/chord/chordsymbolformatter.cpp,L3+,chord/decode layer (L4) — deferred to the L4 certification audit (chordslicedecoder is the L4 survivor; chordanalyzer.h types consumed cross-layer)
src/composing/analysis/chord/chordvoicing.cpp,L3+,chord/decode layer (L4) — deferred to the L4 certification audit (chordslicedecoder is the L4 survivor; chordanalyzer.h types consumed cross-layer)
src/composing/analysis/chord/postscoringgates.cpp,RETIRES,R1 legacy post-scoring Gates I/K/L — retires with the legacy competition at E4
src/composing/analysis/decode/chordpathdecoder.h,L3+,L3 key-mode decoder scaffolding — deferred to the L3 audit
src/composing/analysis/engravingbridge/phraseboundaryview.cpp,L1,Phrase-boundary primitive impl — L1.5 notation-derived view
src/composing/analysis/engravingbridge/phraseboundaryview.h,L1,Phrase-boundary primitive — L1.5 notation-derived view (cowork_phrase_boundary_design.md)
src/composing/analysis/engravingbridge/regiontonecollector.cpp,L1,Derived summary views impl — L1 §3/§5; check for legacy collectRegionTones residue (R-note)
src/composing/analysis/engravingbridge/regiontonecollector.h,L1,Derived summary views over the note model (weightedPcView/soundingAt) — L1 §3/§5; check for legacy collectRegionTones residue
src/composing/analysis/engravingbridge/regiontoneprimitives.cpp,L1,weightedPcView/soundingAt primitive impl — L1 derived views (layer1 design §3)
src/composing/analysis/engravingbridge/spellingview.cpp,L1,Spelling view impl — L1.5 notation-derived reader (R4 survivor)
src/composing/analysis/engravingbridge/spellingview.h,L1,Spelling view — L1.5 notation-derived reader (instruction L1 def; R4 shared-spelling-view survivor)
src/composing/analysis/function/forwardoverride.cpp,L5-DORMANT,DORMANT forward-override impl (localized/forward/convergence-bounded recompute; one-pass closure)
src/composing/analysis/function/forwardoverride.h,L5-DORMANT,DORMANT §8/§9-D7 confidence-weighted forward-override mechanism surface (the ONE reusable override the resolver + modulation recompute reuse); not wired
src/composing/analysis/function/functioncadence.cpp,L5-DORMANT,"DORMANT §5.2 cadence detector impl (cadential-6/4 collapse, family gate, phrase gate, tonic-vote)"
src/composing/analysis/function/functioncadence.h,L5-DORMANT,DORMANT §5.2 key-agnostic event-pair cadence DETECTOR surface (replaces the retiring sectioncadencedetection); not wired
src/composing/analysis/function/functionmodulation.cpp,L5-DORMANT,DORMANT §5.3/§5.4 impl (persistence hysteresis over committed spans; §8 case-4 channel #1)
src/composing/analysis/function/functionmodulation.h,L5-DORMANT,DORMANT §5.3/§5.4 tonicization-vs-modulation + cadence-confirmed modulation recompute surface (reuses the L3-audited localmodulationdetector substrate); not wired
src/composing/analysis/function/functionoutput.cpp,L5-DORMANT,DORMANT §7 output-assembly impl (additive over the L4 result; verbatim carried-identity emit)
src/composing/analysis/function/functionoutput.h,L5-DORMANT,DORMANT §7 output-assembly surface (Roman numeral + cadence + local-key markers + open marks); not wired
src/composing/analysis/function/functionprogression.cpp,L5-DORMANT,DORMANT §5.0 progression impl (licensed-motion test; §15-12 grammar-completion is spec-ahead-of-code)
src/composing/analysis/function/functionprogression.h,L5-DORMANT,DORMANT §5.0 progression MODEL surface — the GRAMMAR owner isLicensedProgression (D5); not wired
src/composing/analysis/function/functionrelationallabel.cpp,L5-DORMANT,DORMANT §5.6 relational-label impl (chromaticism trigger + false-positive guard; V/iv over-trigger is inference-deferred)
src/composing/analysis/function/functionrelationallabel.h,L5-DORMANT,DORMANT §5.6 relational labels (aug6/Neapolitan/applied/mixture precedence) + unified tonicization emitter surface; not wired
src/composing/analysis/function/functionresolver.cpp,L5-DORMANT,DORMANT §5.5 resolver impl (six ambiguity kinds; verbatim carried-identity selection; soft bass prior)
src/composing/analysis/function/functionresolver.h,L5-DORMANT,DORMANT §5.5 RESOLVER surface (select-among-carried-readings by ambiguity kind) + §5.5/§10 fine-grain override (§8 channel #2); not wired
src/composing/analysis/function/functionromannumeral.cpp,L5-DORMANT,DORMANT §5.1 base Roman-numeral derivation impl (deterministic reading from key + committed chord)
src/composing/analysis/function/functionromannumeral.h,L5-DORMANT,DORMANT §5.1 base Roman-numeral derivation surface (degree/quality/inversion/chromatic alteration); not wired
src/composing/analysis/function/harmonicfunctionlayer.cpp,L5-RETIRES,MIS-TAG (see .h) — legacy L4 competition pipeline impl (applyHarmonicFunction winner selection); retires R1/R7; #12-check the winner-selection + progression-signal ownership on deletion
src/composing/analysis/function/harmonicfunctionlayer.h,L5-RETIRES,"MIS-TAG (inherited 'function layer (L5)') — this is the LEGACY L4 CHORD-COMPETITION pipeline (harmonicfunctionlayer.h:25 'Competition pipeline — the SINGLE owner of winner selection'; applyHarmonicFunction runs the per-bass competition + winner selection, LIVE via chordanalyzer/regionanalyzer), NOT the Layer-5 function machinery; its functional labeling is 'E4 (planned)'. Retires R1 (legacy competition) + R7 (rename). #12-check on deletion: it is the SOLE owner of winner selection + progression-signal application (pass-1 finding)"
src/composing/analysis/function/tonicizationlabeler.cpp,L5-DORMANT,DORMANT applied-chord labeler impl (secondary-dominant / applied-leading-tone recognition)
src/composing/analysis/function/tonicizationlabeler.h,L5-DORMANT,DORMANT applied-chord labeler (§13 the dormant tonicizationlabeler; Stage-6-tonic-i narrow slice; the reused labeler §5.6 references); not wired
src/composing/analysis/grouping/groupinglayer.cpp,DEFERRED,Layer 6 (grouping) — deferred to the L6 audit
