file,line,type_owner,field_type,name,context
src/composing/analysis/function/forwardoverride.h,81,ForwardOverrideParams,double,baseBar,double baseBar         = 1.0;  ///< contradiction strength required at zero earlier-confidence
src/composing/analysis/function/forwardoverride.h,82,ForwardOverrideParams,double,confidenceScale,"double confidenceScale = 1.0;  ///< extra bar per unit of earlier-layer confidence [0,1]"
src/composing/analysis/function/forwardoverride.h,152,OnePassClosure,std::set<int>,m_closed,std::set<int> m_closed;        ///< the closed-decision ids (grows-only within a pass)
src/composing/analysis/function/forwardoverride.h,153,OnePassClosure,bool,m_recomputing,bool m_recomputing = false;    ///< true during an active forwardRecompute sweep (no nesting)
src/composing/analysis/function/functioncadence.h,125,CadenceVoiceNote,int,voice,int voice = 0;   ///< voice id (the resolution is tested per voice / melodically)
src/composing/analysis/function/functioncadence.h,126,CadenceVoiceNote,int,pitch,int pitch = 0;   ///< MIDI pitch (ppitch)
src/composing/analysis/function/functioncadence.h,137,CadenceEvent,int,rootPc,int rootPc = -1;                              ///< committed root pitch class (0–11); -1 = none
src/composing/analysis/function/functioncadence.h,138,CadenceEvent,ChordQuality,quality,ChordQuality quality = ChordQuality::Unknown; ///< committed chord quality
src/composing/analysis/function/functioncadence.h,139,CadenceEvent,int,bassPc,int bassPc = -1;                              ///< committed bass pitch class (0–11); -1 = none
src/composing/analysis/function/functioncadence.h,141,CadenceEvent,std::vector<CadenceVoiceNote>,notes,"std::vector<CadenceVoiceNote> notes;          ///< the event's sounding notes, per voice"
src/composing/analysis/function/functioncadence.h,143,CadenceEvent,double,metricWeight,"double metricWeight = 1.0;   ///< §3 metric weight of the event's onset [0.5,1.0]; higher = stronger"
src/composing/analysis/function/functioncadence.h,144,CadenceEvent,int,startTick,int startTick = 0;           ///< event start tick (raw integer)
src/composing/analysis/function/functioncadence.h,145,CadenceEvent,int,endTick,"int endTick = 0;             ///< event end tick, exclusive"
src/composing/analysis/function/functioncadence.h,151,CadenceEvent,bool,endsPhrase,bool endsPhrase = false;
src/composing/analysis/function/functioncadence.h,154,CadenceEvent,bool,isFinalBar,bool isFinalBar = false;
src/composing/analysis/function/functioncadence.h,171,FunctionalCadence,FunctionalCadenceType,type,FunctionalCadenceType type = FunctionalCadenceType::None;
src/composing/analysis/function/functioncadence.h,172,FunctionalCadence,int,approachTick,int approachTick = -1;       ///< startTick of the approach (dominant / pre-dominant) event
