file,line,kind,func,context
src/composing/analysis/function/forwardoverride.cpp,32,if,overrideBar,if (c < 0.0) {
src/composing/analysis/function/forwardoverride.cpp,34,else-if,overrideBar,} else if (c > 1.0) {
src/composing/analysis/function/forwardoverride.cpp,61,if,tryOverride,if (isClosed(decisionId)) {
src/composing/analysis/function/forwardoverride.cpp,64,if,tryOverride,"if (!overrides(earlierConfidence, contradictionStrength, p)) {"
src/composing/analysis/function/forwardoverride.cpp,74,if,forwardRecompute,if (m_recomputing) {
src/composing/analysis/function/forwardoverride.cpp,77,if,forwardRecompute,if (firstSlice > lastSlice) {
src/composing/analysis/function/forwardoverride.cpp,87,if,forwardRecompute,if (reread) {
src/composing/analysis/function/functioncadence.cpp,42,if,eventHasPc,if (n.pc() == target) {
src/composing/analysis/function/functioncadence.cpp,58,if,voiceMovesFromTo,if (nd.pc() != from) {
src/composing/analysis/function/functioncadence.cpp,62,if,voiceMovesFromTo,if (na.voice == nd.voice && na.pc() == to) {
src/composing/analysis/function/functioncadence.cpp,84,if,isPredominant,if (pred.rootPc < 0) {
src/composing/analysis/function/functioncadence.cpp,88,if,isPredominant,if (r == 5 || r == 2 || r == 1 || r == 8) {
src/composing/analysis/function/functioncadence.cpp,91,if,isPredominant,if (pred.rootPc != tonicPc && pred.rootPc != dom.rootPc) {
src/composing/analysis/function/functioncadence.cpp,107,if,isSecondInversionTonicTriad,if (e.quality != ChordQuality::Major && e.quality != ChordQuality::Minor) {
src/composing/analysis/function/functioncadence.cpp,110,if,isSecondInversionTonicTriad,if (e.rootPc < 0 || e.bassPc < 0) {
src/composing/analysis/function/functioncadence.cpp,128,if,dominantSeventhPresent,if (dom.rootPc < 0) {
src/composing/analysis/function/functioncadence.cpp,140,if,isGenuineDominant,if (dominantSeventhPresent(dom)) {
src/composing/analysis/function/functioncadence.cpp,148,if,isGenuineDominant,"if (dominantTritonePresent(dom, tonicPc)) {"
src/composing/analysis/function/functioncadence.cpp,149,ternary,isGenuineDominant,const int thirdPc = (arr.quality == ChordQuality::Minor) ? norm(tonicPc + 3)
src/composing/analysis/function/functioncadence.cpp,151,if,isGenuineDominant,"if (leadingToneResolves(dom, arr, tonicPc)"
src/composing/analysis/function/functioncadence.cpp,166,if,cadenceTonicVote,if (c.bassFiveToOne) {
src/composing/analysis/function/functioncadence.cpp,169,if,cadenceTonicVote,if (c.leadingToneResolves) {
src/composing/analysis/function/functioncadence.cpp,172,if,cadenceTonicVote,if (c.genuineDominant) {
