file,line,include,resolved,target_area
src/composing/analysis/function/forwardoverride.cpp,22,forwardoverride.h,forwardoverride.h,external
src/composing/analysis/function/functioncadence.cpp,22,functioncadence.h,functioncadence.h,external
src/composing/analysis/function/functioncadence.cpp,24,functionprogression.h,functionprogression.h,external
src/composing/analysis/function/functioncadence.h,114,composing/analysis/types/analysistypes.h,composing/analysis/types/analysistypes.h,types
src/composing/analysis/function/functionmodulation.cpp,22,functionmodulation.h,functionmodulation.h,external
src/composing/analysis/function/functionmodulation.h,97,composing/analysis/section/localmodulationdetector.h,composing/analysis/section/localmodulationdetector.h,section
src/composing/analysis/function/functionmodulation.h,98,functioncadence.h,functioncadence.h,external
src/composing/analysis/function/functionmodulation.h,99,forwardoverride.h,forwardoverride.h,external
src/composing/analysis/function/functionoutput.cpp,23,composing/analysis/function/functionoutput.h,composing/analysis/function/functionoutput.h,function
src/composing/analysis/function/functionoutput.h,73,composing/analysis/chord/chordanalyzer.h,composing/analysis/chord/chordanalyzer.h,chord
src/composing/analysis/function/functionoutput.h,74,functioncadence.h,functioncadence.h,external
src/composing/analysis/function/functionoutput.h,75,functionmodulation.h,functionmodulation.h,external
src/composing/analysis/function/functionoutput.h,76,functionprogression.h,functionprogression.h,external
src/composing/analysis/function/functionoutput.h,77,functionrelationallabel.h,functionrelationallabel.h,external
src/composing/analysis/function/functionprogression.cpp,22,functionprogression.h,functionprogression.h,external
src/composing/analysis/function/functionprogression.h,118,composing/analysis/types/analysistypes.h,composing/analysis/types/analysistypes.h,types
src/composing/analysis/function/functionrelationallabel.cpp,23,composing/analysis/function/functionrelationallabel.h,composing/analysis/function/functionrelationallabel.h,function
src/composing/analysis/function/functionrelationallabel.cpp,25,composing/analysis/chord/analysisutils.h,composing/analysis/chord/analysisutils.h,chord
src/composing/analysis/function/functionrelationallabel.cpp,26,composing/analysis/engravingbridge/spellingview.h,composing/analysis/engravingbridge/spellingview.h,engravingbridge
src/composing/analysis/function/functionrelationallabel.cpp,27,composing/analysis/function/tonicizationlabeler.h,composing/analysis/function/tonicizationlabeler.h,function
src/composing/analysis/function/functionrelationallabel.cpp,28,composing/analysis/region/sparsechordrefinement.h,composing/analysis/region/sparsechordrefinement.h,region
src/composing/analysis/function/functionrelationallabel.h,95,composing/analysis/chord/chordanalyzer.h,composing/analysis/chord/chordanalyzer.h,chord
src/composing/analysis/function/functionresolver.cpp,22,functionresolver.h,functionresolver.h,external
src/composing/analysis/function/functionresolver.cpp,27,composing/analysis/region/sparsechordrefinement.h,composing/analysis/region/sparsechordrefinement.h,region
src/composing/analysis/function/functionresolver.h,84,composing/analysis/chord/chordslicedecoder.h,composing/analysis/chord/chordslicedecoder.h,chord
src/composing/analysis/function/functionresolver.h,85,composing/analysis/types/analysistypes.h,composing/analysis/types/analysistypes.h,types
src/composing/analysis/function/functionresolver.h,86,functioncadence.h,functioncadence.h,external
src/composing/analysis/function/functionresolver.h,87,functionprogression.h,functionprogression.h,external
src/composing/analysis/function/functionresolver.h,88,forwardoverride.h,forwardoverride.h,external
src/composing/analysis/function/functionromannumeral.cpp,22,functionromannumeral.h,functionromannumeral.h,external
src/composing/analysis/function/functionromannumeral.cpp,24,composing/analysis/region/sparsechordrefinement.h,composing/analysis/region/sparsechordrefinement.h,region
src/composing/analysis/function/functionromannumeral.h,53,composing/analysis/chord/chordanalyzer.h,composing/analysis/chord/chordanalyzer.h,chord
src/composing/analysis/function/tonicizationlabeler.cpp,23,composing/analysis/function/tonicizationlabeler.h,composing/analysis/function/tonicizationlabeler.h,function
src/composing/analysis/function/tonicizationlabeler.cpp,25,composing/analysis/chord/analysisutils.h,composing/analysis/chord/analysisutils.h,chord
src/composing/analysis/function/tonicizationlabeler.h,61,composing/analysis/chord/chordanalyzer.h,composing/analysis/chord/chordanalyzer.h,chord
src/composing/analysis/progression/progressionrecognizer.cpp,22,progressionrecognizer.h,progressionrecognizer.h,external
src/composing/analysis/progression/progressionrecognizer.h,79,composing/analysis/vocabulary/harmonicvocabulary.h,composing/analysis/vocabulary/harmonicvocabulary.h,vocabulary
tools/a8_rebaseline_measure.py,46,compare_analyses,tools/compare_analyses.py,instrument
tools/a8_rebaseline_measure.py,47,compare_rn,tools/compare_rn.py,instrument
tools/a8_rebaseline_measure.py,48,characterise_bir_false,tools/characterise_bir_false.py,instrument
tools/a8_rebaseline_measure.py,49,dcml_parser,tools/dcml_parser.py,instrument
tools/analyze_inversion_errors.py,59,compare_analyses,tools/compare_analyses.py,instrument
tools/analyze_inversion_errors.py,60,dcml_parser,tools/dcml_parser.py,instrument
tools/analyze_inversion_errors.py,61,characterise_bir_false,tools/characterise_bir_false.py,instrument
tools/batch_analyze.cpp,47,global/globalmodule.h,global/globalmodule.h,external
tools/batch_analyze.cpp,48,draw/internal/ifontsdatabase.h,draw/internal/ifontsdatabase.h,external
tools/batch_analyze.cpp,49,global/iapplication.h,global/iapplication.h,external
tools/batch_analyze.cpp,50,global/modularity/ioc.h,global/modularity/ioc.h,external
tools/batch_analyze.cpp,51,global/modularity/imodulesetup.h,global/modularity/imodulesetup.h,external
tools/batch_analyze.cpp,52,global/io/path.h,global/io/path.h,external
tools/batch_analyze.cpp,53,global/types/string.h,global/types/string.h,types
tools/batch_analyze.cpp,54,global/types/ret.h,global/types/ret.h,types
tools/batch_analyze.cpp,55,global/tests/mocks/applicationstub.h,global/tests/mocks/applicationstub.h,external
tools/batch_analyze.cpp,58,draw/drawmodule.h,draw/drawmodule.h,external
tools/batch_analyze.cpp,61,engraving/engravingmodule.h,engraving/engravingmodule.h,external
tools/batch_analyze.cpp,62,engraving/engravingerrors.h,engraving/engravingerrors.h,external
tools/batch_analyze.cpp,63,engraving/dom/masterscore.h,engraving/dom/masterscore.h,external
tools/batch_analyze.cpp,64,engraving/dom/measure.h,engraving/dom/measure.h,external
tools/batch_analyze.cpp,65,engraving/dom/measurebase.h,engraving/dom/measurebase.h,external
tools/batch_analyze.cpp,66,engraving/dom/segment.h,engraving/dom/segment.h,external
tools/batch_analyze.cpp,67,engraving/dom/chord.h,engraving/dom/chord.h,external
tools/batch_analyze.cpp,68,engraving/dom/chordrest.h,engraving/dom/chordrest.h,external
